Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role,Location,Coordinates
UI/UX Design Intern,"User Research, Wireframing, Prototyping, Usability Testing",6 Months,Research,The Misted Mirror,"18,000",Remote,22-09-2025,"As a UI/UX Design Intern, you will gain hands-on experience in Photography, Animation, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",UI/UX Design,"Bilaspur, Chhattisgarh, India","22.0785627,82.1476475"
AgriTech Intern,"IoT Security, Edge Computing, Arduino",3 Months,Long Term,Stellar Systems,"10,000",Remote,22-09-2025,"As a AgriTech Intern, you will gain hands-on experience in IoT Security, Edge Computing, Arduino. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AgriTech,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
Content Writing Intern,"SEO, Copywriting, Blogging, Content Strategy, Editing",3 Months,Long Term,Fossil & Forge,"10,000",Remote,22-09-2025,"As a Content Writing Intern, you will gain hands-on experience in SEO, Copywriting, Blogging, Content Strategy, Editing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Content Writing,"Nashik, Maharashtra, India","20.0112475,73.7902364"
FinTech Intern,"Ethereum, DeFi, Smart Contracts",2 Months,Converting,Ironwood Industries,"8,000",Remote,22-09-2025,"As a FinTech Intern, you will gain hands-on experience in Ethereum, DeFi, Smart Contracts. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FinTech,"Navi Mumbai, Maharashtra, India","19.0308262,73.0198537"
Energy Intern,"Teamwork, Problem Solving, Communication",3 Months,Summer,Quasar Corp,"6,000",Remote,22-09-2025,"As a Energy Intern, you will gain hands-on experience in Teamwork, Problem Solving, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Energy,"Rajkot, Gujarat, India","22.3053263,70.8028377"
Precision Agriculture Intern,"Soil Analysis, Precision Farming, AgriTech",3 Months,Summer,Phoenix Paradox,900,Remote,22-09-2025,"As a Precision Agriculture Intern, you will explore Soil Analysis, Precision Farming and AgriTech, optimizing farming practices or analyzing soil data using precision agriculture tools. Youâ€™ll collaborate with agronomists to improve crop yields.",Agriculture,"Tirunelveli, Tamil Nadu, India","8.7284271,77.7112925"
Data Visualization Intern,"NLP, Transformers, Deep Learning",4 Months,Summer,Gravity Labs,"6,000",Remote,22-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in NLP, Transformers, Deep Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization,"Visakhapatnam, Andhra Pradesh, India","17.6935526,83.2921297"
Networking Intern,"Cloud Security, Penetration Testing, Incident Response",3 Months,Long Term,Monolith Studios,"15,000",Remote,23-09-2025,"As a Networking Intern, you will gain hands-on experience in Cloud Security, Penetration Testing, Incident Response. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Networking,"Amritsar, Punjab, India","31.6356659,74.8787496"
Meteorology Intern,"Project Planning, Problem Solving, Teamwork",4 Months,Converting,MeteroBurn,"10,000",Remote,23-09-2025,"As a Meteorology Intern, you will gain hands-on experience in Project Planning, Problem Solving, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Meteorology,"Bhopal, Madhya Pradesh, India","23.2584857,77.401989"
Biotechnology Intern,"Genetics, Molecular Biology, Immunology",6 Months,Summer,Umbra Innovations,"6,000",Remote,23-09-2025,"As a Biotechnology Intern, you will gain hands-on experience in Genetics, Molecular Biology, Immunology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biotechnology,"Bikaner, Rajasthan, India","28.0159286,73.3171367"
PropTech Intern,"Ethereum, NFTs, Smart Contracts",6 Months,Summer,Delphi Group,"20,000",Onsite,23-09-2025,"As a PropTech Intern, you will gain hands-on experience in Ethereum, NFTs, Smart Contracts. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",PropTech,"Guwahati, Assam, India","26.1805978,91.753943"
PropTech Intern,"NFTs, DeFi, Ethereum",2 Months,Research,Xenon Xplorations,"20,000",Onsite,23-09-2025,"As a PropTech Intern, you will gain hands-on experience in NFTs, DeFi, Ethereum. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",PropTech,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
HR Intern,"Training, Compliance, Employee Engagement",2 Months,Long Term,Voyager Works,"20,000",Onsite,23-09-2025,"As a HR Intern, you will gain hands-on experience in Training, Compliance, Employee Engagement. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",HR,"Ludhiana, Punjab, India","30.9090157,75.851601"
Cybersecurity Intern,"Penetration Testing, Cloud Security, Cryptography",2 Months,Summer,Solstice Solutions,"18,000",Remote,23-09-2025,"As a Cybersecurity Intern, you will gain hands-on experience in Penetration Testing, Cloud Security, Cryptography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cybersecurity,"Ludhiana, Punjab, India","30.9090157,75.851601"
Operations Intern,"Teamwork, Communication, Leadership",6 Months,Research,Apex Aerospace,"18,000",Onsite,23-09-2025,"As a Operations Intern, you will gain hands-on experience in Teamwork, Communication, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Operations,"Mathura, Uttar Pradesh, India","27.4955539,77.6855554"
FinTech Intern,"Consensus Mechanisms, Ethereum, DeFi",3 Months,Long Term,Interstellar Innovations,"6,000",Remote,23-09-2025,"As a FinTech Intern, you will gain hands-on experience in Consensus Mechanisms, Ethereum, DeFi. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FinTech,"Muzaffarpur, Bihar, India","26.1182898,85.3857888"
SEO Intern,"Market Research, Social Media, Brand Management",4 Months,Long Term,Spacetime Solutions,"20,000",Remote,23-09-2025,"As a SEO Intern, you will gain hands-on experience in Market Research, Social Media, Brand Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",SEO,"Rajahmundry, Andhra Pradesh, India","17.0050454,81.7804732"
Law Enforcement Intern,"Litigation, Contract Drafting, IP Law",3 Months,Converting,LawfulOracle,"8,000",Onsite,23-09-2025,"As a Law Enforcement Intern, you will gain hands-on experience in Litigation, Contract Drafting, IP Law. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Law Enforcement,"Sambalpur, Odisha, India","21.4705391,83.9761511"
Psychology Intern,"Counseling, Cognitive Behavior, Neuropsychology",4 Months,Long Term,Dryad Dynamics,"12,000",Onsite,23-09-2025,"As a Psychology Intern, you will gain hands-on experience in Counseling, Cognitive Behavior, Neuropsychology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Psychology,"Siliguri, West Bengal, India","26.7164127,88.4309916"
Graphic Design Intern,"Video Editing, Storyboarding, Animation",6 Months,Summer,Orion Innovations,"8,000",Remote,23-09-2025,"As a Graphic Design Intern, you will gain hands-on experience in Video Editing, Storyboarding, Animation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Graphic Design,"Tirupati, Andhra Pradesh, India","13.6316368,79.4231711"
Interior Design Intern,"Leadership, Communication, Project Planning",3 Months,Long Term,Ichor Innovations,"20,000",Onsite,23-09-2025,"As a Interior Design Intern, you will gain hands-on experience in Leadership, Communication, Project Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Interior Design,"Tiruvottiyur, Tamil Nadu, India","13.1563873,80.3005279"
Environmental Science Intern,"Teamwork, Leadership, Communication",3 Months,Summer,mcroloft env,"12,000",Onsite,24-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Leadership, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science,"Agartala, Tripura, India","23.8312377,91.2823821"
Cloud Engineering Intern,"Kubernetes, Azure, Google Cloud",3 Months,Converting,Griffin Group,"8,000",Remote,24-09-2025,"As a Cloud Engineering Intern, you will gain hands-on experience in Kubernetes, Azure, Google Cloud. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Engineering,"Agra, Uttar Pradesh, India","27.1752554,78.0098161"
Electrical Engineering Intern,"Power Systems, Automation, Structural Analysis",4 Months,Summer,Medusa Marketing,"20,000",Remote,24-09-2025,"As a Electrical Engineering Intern, you will gain hands-on experience in Power Systems, Automation, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Electrical Engineering,"Amritsar, Punjab, India","31.6356659,74.8787496"
Library Intern,"STEM Education, E-learning, Instructional Design",3 Months,Converting,ReadersX,"15,000",Remote,24-09-2025,"As a Library Intern, you will gain hands-on experience in STEM Education, E-learning, Instructional Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Library,"Chandigarh, Chandigarh, India","30.7334421,76.7797143"
Hospitality Intern,"Guest Services, Event Planning, Hotel Management, Food and Beverage",2 Months,Research,Eos Communications,"18,000",Onsite,24-09-2025,"As a Hospitality Intern, you will gain hands-on experience in Guest Services, Event Planning, Hotel Management, Food and Beverage. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Hospitality,"Coimbatore, Tamil Nadu, India","11.0018115,76.9628425"
Biomedical Intern,"Biotech Applications, Immunology, Cell Research",4 Months,Summer,Nova Networks,"12,000",Remote,24-09-2025,"As a Biomedical Intern, you will gain hands-on experience in Biotech Applications, Immunology, Cell Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Biomedical,"Coimbatore, Tamil Nadu, India","11.0018115,76.9628425"
Event Management Intern,"Creative Writing, Event Management, Art History",4 Months,Converting,Nova Networks,"6,000",Onsite,24-09-2025,"As a Event Management Intern, you will gain hands-on experience in Creative Writing, Event Management, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management,"Gaya, Bihar, India","24.7964355,85.0079563"
Cyber Law Intern,"Incident Response, Cloud Security, Cryptography",4 Months,Summer,Equinox Enterprises,"8,000",Onsite,24-09-2025,"As a Cyber Law Intern, you will gain hands-on experience in Incident Response, Cloud Security, Cryptography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cyber Law,"Gulbarga, Karnataka, India","17.3310003,76.8334228"
Journalism Intern,"Communication, Leadership, Problem Solving",3 Months,Summer,Fathom Collective,"8,000",Remote,24-09-2025,"As a Journalism Intern, you will gain hands-on experience in Communication, Leadership, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Journalism,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
Oceanography Intern,"Teamwork, Communication, Project Planning",4 Months,Long Term,Ishtar Innovations,"8,000",Remote,24-09-2025,"As a Oceanography Intern, you will gain hands-on experience in Teamwork, Communication, Project Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Oceanography,"Itanagar, Arunachal Pradesh, India","27.0979659,93.6237291"
Medical Intern,"Diagnostics, Anatomy, Pharmacology",4 Months,Converting,Constellation Concepts,"12,000",Onsite,24-09-2025,"As a Medical Intern, you will gain hands-on experience in Diagnostics, Anatomy, Pharmacology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Medical,"Kota, Rajasthan, India","25.196682950000003,76.00096873038872"
AI Ethics Intern,"Generative AI, Reinforcement Learning, Transformers",6 Months,Summer,EduNext,"15,000",Onsite,24-09-2025,"As a AI Ethics Intern, you will gain hands-on experience in Generative AI, Reinforcement Learning, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",AI Ethics,"Meerut, Uttar Pradesh, India","28.9963296,77.7061915"
Neuroscience Intern,"Cell Research, Molecular Biology, Genetics",2 Months,Research,Ichor Innovations,"18,000",Remote,24-09-2025,"As a Neuroscience Intern, you will gain hands-on experience in Cell Research, Molecular Biology, Genetics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Neuroscience,"Salem, Tamil Nadu, India","11.6551982,78.1581771"
Photography Intern,"Animation, Video Editing, Graphic Design",2 Months,Summer,Silent Symphony,"12,000",Remote,24-09-2025,"As a Photography Intern, you will gain hands-on experience in Animation, Video Editing, Graphic Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Photography,"Shillong, Meghalaya, India","25.5760446,91.8825282"
Quantum Neuroimaging Intern,"Quantum Brain Scans, Imaging Algorithms",5 Months,Semester,NeuroQuantum,950,Onsite,24-09-2025,"As a Quantum Neuroimaging Intern, you will gain hands-on experience in Quantum Brain Scans, Imaging Algorithms. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Quantum Neuroimaging,"Surat, Gujarat, India","21.2094892,72.8317058"
Sports Management Intern,"Leadership, Project Planning, Problem Solving",3 Months,Converting,PlayMuch,"12,000",Onsite,24-09-2025,"As a Sports Management Intern, you will gain hands-on experience in Leadership, Project Planning, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Sports Management,"Tiruvottiyur, Tamil Nadu, India","13.1563873,80.3005279"
Game Development Intern,"Video Editing, Animation, Storyboarding",3 Months,Converting,Cadmus Corp,"18,000",Onsite,24-09-2025,"As a Game Development Intern, you will gain hands-on experience in Video Editing, Animation, Storyboarding. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Development,"Ujjain, Madhya Pradesh, India","23.1885131,75.7716562"
Web Development Intern,"React, flask, javascript",3 Months,Long Term,Siren Systems,"8,000",Full Time,25-09-2025,"As a Web Development Intern, you will gain hands-on experience in React, flask, javascript. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Web Development,"Alwar, Rajasthan, India","27.5645949,76.6132248"
HealthTech Intern,"Health Informatics, Patient Monitoring, Mobile Health Applications",6 Months,Converting,LiveMuch,"12,000",Remote,25-09-2025,"As a HealthTech Intern, you will gain hands-on experience in Health Informatics, Patient Monitoring, Mobile Health Applications. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",HealthTech,"Asansol, West Bengal, India","23.6871297,86.9746587"
Customer Success Intern,"Problem Solving, Communication, Leadership",2 Months,Long Term,Agon Systems,"20,000",Onsite,25-09-2025,"As a Customer Success Intern, you will gain hands-on experience in Problem Solving, Communication, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Customer Success,"Bhubaneswar, Odisha, India","20.2602964,85.8394521"
Culinary Intern,"Restaurant Operations, Cost Control, Inventory Management, Food Service",6 Months,Long Term,Aether Collective,"10,000",Remote,25-09-2025,"As a Culinary Intern, you will gain hands-on experience in Restaurant Operations, Cost Control, Inventory Management, Food Service. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Culinary,"Delhi, Delhi, India","28.6517178,77.2219388"
Genetics Intern,"Immunology, Biotech Applications, Molecular Biology",3 Months,Summer,Pulsar Systems,"6,000",Full Time,25-09-2025,"As a Genetics Intern, you will gain hands-on experience in Immunology, Biotech Applications, Molecular Biology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Genetics,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Climate Policy Intern,"Climate Change, Conservation, Biodiversity",6 Months,Long Term,Vulcan Works,1500,Full Time,25-09-2025,"As a Climate Policy Intern, you will work on Climate Change, Conservation and Biodiversity, contributing to sustainability projects or environmental analysis using GIS tools or climate models. Youâ€™ll partner with researchers to promote eco-friendly solutions.",Environment,"Greater Noida, Uttar Pradesh, India","28.4670734,77.5137649"
Genetics Intern,"Cell Research, Molecular Biology, Immunology",2 Months,Research,Chiron Collective,"15,000",Remote,25-09-2025,"As a Genetics Intern, you will gain hands-on experience in Cell Research, Molecular Biology, Immunology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Genetics,"Greater Noida, Uttar Pradesh, India","28.4670734,77.5137649"
DevOps Intern,"AWS, Kubernetes, Serverless Computing",3 Months,Summer,Valkyrie Works,"6,000",Remote,25-09-2025,"As a DevOps Intern, you will gain hands-on experience in AWS, Kubernetes, Serverless Computing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",DevOps,"Jaipur, Rajasthan, India","26.9154576,75.8189817"
Marketing Intern,"Social Media, SEO, Content Strategy",2 Months,Research,Kepler Collective,"8,000",Full Time,25-09-2025,"As a Marketing Intern, you will gain hands-on experience in Social Media, SEO, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Marketing,"Navi Mumbai, Maharashtra, India","19.0308262,73.0198537"
Metaverse Intern,"Project Planning, Communication, Leadership",6 Months,Research,Midas Media,"8,000",Full Time,25-09-2025,"As a Metaverse Intern, you will gain hands-on experience in Project Planning, Communication, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Metaverse,"Navi Mumbai, Maharashtra, India","19.0308262,73.0198537"
Esports Intern,"Leadership, Project Planning, Teamwork",6 Months,Converting,Quantum Quilters,"10,000",Full Time,25-09-2025,"As a Esports Intern, you will gain hands-on experience in Leadership, Project Planning, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports,"Pondicherry, Puducherry, India","11.9340568,79.8306447"
Veterinary Intern,"Clinical Research, Diagnostics, Pathology",2 Months,Research,Macha Media,"15,000",Full Time,25-09-2025,"As a Veterinary Intern, you will gain hands-on experience in Clinical Research, Diagnostics, Pathology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Veterinary,"Siliguri, West Bengal, India","26.7164127,88.4309916"
Mobile App Development Intern,"Graphic Design, Storyboarding, Photography",4 Months,Research,Ironclad Collective,"20,000",Onsite,25-09-2025,"As a Mobile App Development Intern, you will gain hands-on experience in Graphic Design, Storyboarding, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mobile App Development,"Siliguri, West Bengal, India","26.7164127,88.4309916"
Machine Learning Intern,"Deep Learning, Reinforcement Learning, Generative AI",2 Months,Summer,Stellas,"6,000",Remote,25-09-2025,"As a Machine Learning Intern, you will gain hands-on experience in Deep Learning, Reinforcement Learning, Generative AI. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Machine Learning,"Vadodara, Gujarat, India","22.2973142,73.1942567"
Cloud Engineering Intern,"Kubernetes, Azure, AWS",3 Months,Long Term,Astra Innovations,"6,000",Remote,26-09-2025,"As a Cloud Engineering Intern, you will gain hands-on experience in Kubernetes, Azure, AWS. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cloud Engineering,"Alwar, Rajasthan, India","27.5645949,76.6132248"
International Relations Intern,"Social Behavior, Cultural Studies, Surveys",3 Months,Long Term,Triton Communications,"18,000",Remote,26-09-2025,"As a International Relations Intern, you will gain hands-on experience in Social Behavior, Cultural Studies, Surveys. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",International Relations,"Amritsar, Punjab, India","31.6356659,74.8787496"
Cyber Law Intern,"Incident Response, Cloud Security, Cryptography",3 Months,Summer,Hyperion Holdings,"6,000",Remote,26-09-2025,"As a Cyber Law Intern, you will gain hands-on experience in Incident Response, Cloud Security, Cryptography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Cyber Law,"Asansol, West Bengal, India","23.6871297,86.9746587"
Accounting Intern,"Financial Modeling, Valuation, Portfolio Management",4 Months,Summer,InnoWorks,"18,000",Remote,26-09-2025,"As a Accounting Intern, you will gain hands-on experience in Financial Modeling, Valuation, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Accounting,"Bhubaneswar, Odisha, India","20.2602964,85.8394521"
Robotics Intern,"Path Planning, ROS, Mechatronics",6 Months,Converting,The Crooked Crown,"15,000",Remote,26-09-2025,"As a Robotics Intern, you will gain hands-on experience in Path Planning, ROS, Mechatronics. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Robotics,"Coimbatore, Tamil Nadu, India","11.0018115,76.9628425"
Project Management Intern,"Pandas, Spark, Big Data",6 Months,Converting,Makeshift,"12,000",Full Time,26-09-2025,"As a Project Management Intern, you will gain hands-on experience in Pandas, Spark, Big Data. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Project Management,"Darbhanga, Bihar, India","26.156999,85.8995065"
Digital Heritage Preservation Intern,"3D Artifact Scanning, Cultural Archiving",2 Months,Research,HeritageDigital,12500,Remote,26-09-2025,"As a Digital Heritage Preservation Intern, you will gain hands-on experience in 3D Artifact Scanning, Cultural Archiving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Heritage Preservation,"Gandhinagar, Gujarat, India","23.2232877,72.6492267"
Mechanical Engineering Intern,"Structural Analysis, Power Systems, Automation",3 Months,Converting,MechGo,"10,000",Full Time,26-09-2025,"As a Mechanical Engineering Intern, you will gain hands-on experience in Structural Analysis, Power Systems, Automation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Mechanical Engineering,"Indore, Madhya Pradesh, India","22.7203616,75.8681996"
Textile Production Intern,"Knitting Machines, Fabric Finishing",3 Months,Research,TextileMill,800,Remote,26-09-2025,"As a Textile Production Intern, you will gain hands-on experience in Knitting Machines, Fabric Finishing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Textile Manufacturing,"Kamarhati, West Bengal, India","22.6810246,88.3715343"
Fashion Design Intern,"Sketching, Pattern Making, Garment Construction, Textiles, Trend Forecasting",4 Months,Long Term,Basilisk Ventures,"20,000",Remote,26-09-2025,"As a Fashion Design Intern, you will gain hands-on experience in Sketching, Pattern Making, Garment Construction, Textiles, Trend Forecasting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Design,"Moradabad, Uttar Pradesh, India","28.8334982,78.7732864"
Video Editing Intern,"Photography, Graphic Design, Animation",6 Months,Long Term,Runic Rhythm,"18,000",Full Time,26-09-2025,"As a Video Editing Intern, you will gain hands-on experience in Photography, Graphic Design, Animation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Video Editing,"Pune, Maharashtra, India","18.5213738,73.8545071"
Customer Success Intern,"Problem Solving, Leadership, Project Planning",4 Months,Converting,Nebula Group,"20,000",Remote,26-09-2025,"As a Customer Success Intern, you will gain hands-on experience in Problem Solving, Leadership, Project Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Customer Success,"Shillong, Meghalaya, India","25.5760446,91.8825282"
Game Development Intern,"Video Editing, Storyboarding, Graphic Design",2 Months,Summer,Enigma Group,"12,000",Remote,27-09-2025,"As a Game Development Intern, you will gain hands-on experience in Video Editing, Storyboarding, Graphic Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Development,"Bally, West Bengal, India","22.6469581,88.343612"
Photography Intern,"Animation, Graphic Design, Photography",4 Months,Research,Nexus Networks,"15,000",Remote,27-09-2025,"As a Photography Intern, you will gain hands-on experience in Animation, Graphic Design, Photography. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Photography,"Jodhpur, Rajasthan, India","26.2967719,73.0351433"
Corporate Communications Intern,"Internal Newsletters, Stakeholder Relations",2 Months,Long Term,CorpComm,9000,Remote,27-09-2025,"As a Corporate Communications Intern, you will gain hands-on experience in Internal Newsletters, Stakeholder Relations. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Corporate Communications,"Junagadh, Gujarat, India","21.5220416,70.4582458"
History Intern,"Archaeology, Modern History, Archival Research",2 Months,Long Term,The Woven Compass,"18,000",Full Time,27-09-2025,"As a History Intern, you will gain hands-on experience in Archaeology, Modern History, Archival Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",History,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
Supply Chain Intern,"Global Supply Chain, Lean Manufacturing, Distribution Management",3 Months,Summer,Thoth Tech,"8,000",Remote,27-09-2025,"As a Supply Chain Intern, you will gain hands-on experience in Project Planning, Communication, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Supply Chain,"Kolhapur, Maharashtra, India","16.7028412,74.2405329"
Statistics Intern,"Deep Learning, Generative AI, Transformers",4 Months,Converting,Siren's Song,"10,000",Full Time,27-09-2025,"As a Statistics Intern, you will gain hands-on experience in Deep Learning, Generative AI, Transformers. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Statistics,"Mathura, Uttar Pradesh, India","27.4955539,77.6855554"
Game Design Intern,"Animation, Storyboarding, Graphic Design",3 Months,Summer,Ebon Industries,"8,000",Remote,27-09-2025,"As a Game Design Intern, you will gain hands-on experience in Animation, Storyboarding, Graphic Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Game Design,"Rourkela, Odisha, India","22.2309255,84.8678705"
HR Intern,"Recruitment, Training, Employee Engagement",3 Months,Long Term,Nexus Solutions,"8,000",Remote,27-09-2025,"As a HR Intern, you will gain hands-on experience in Recruitment, Training, Employee Engagement. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",HR,"Rourkela, Odisha, India","22.2309255,84.8678705"
Event Management Intern,"Event Management, Performing Arts, Art History",3 Months,Long Term,MangeNova,"10,000",Full Time,27-09-2025,"As a Event Management Intern, you will gain hands-on experience in Event Management, Performing Arts, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management,"Salem, Tamil Nadu, India","11.6551982,78.1581771"
Climate Tech Policy Intern,"Carbon Pricing, Tech Regulation",3 Months,Semester,ClimatePolicy,1350,Full Time,28-09-2025,"As a Climate Tech Policy Intern, you will gain hands-on experience in Carbon Pricing, Tech Regulation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Climate Tech Policy,"Berhampur, Odisha, India","21.5340187,86.6538825"
Gem Cutting Intern,"Precision Cutting, Symmetry Evaluation",2 Months,Summer,GemCraft,1100,Remote,28-09-2025,"As a Gem Cutting Intern, you will gain hands-on experience in Precision Cutting, Symmetry Evaluation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Gems & Jewellery,"Bhavnagar, Gujarat, India","21.7718836,72.1416449"
Quantum Computing Intern,"Generative AI, Computer Vision, Reinforcement Learning",2 Months,Research,Mercurial Ventures,"8,000",Remote,28-09-2025,"As a Quantum Computing Intern, you will gain hands-on experience in Generative AI, Computer Vision, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Quantum Computing,"Erode, Tamil Nadu, India","11.3306483,77.7276519"
Legal Intern,"Corporate Law, IP Law, Litigation",3 Months,Long Term,Gemini Global,"10,000",Full Time,28-09-2025,"As a Legal Intern, you will gain hands-on experience in Corporate Law, IP Law, Litigation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Legal,"Greater Noida, Uttar Pradesh, India","28.4670734,77.5137649"
Data Science Intern,"Deep Learning, Transformers, Reinforcement Learning",2 Months,Summer,UrbanWorks,"8,000",Full Time,28-09-2025,"As a Data Science Intern, you will gain hands-on experience in Deep Learning, Transformers, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science,"Gulbarga, Karnataka, India","17.3310003,76.8334228"
Precision Agriculture Intern,"Soil Analysis, Crop Management, Precision Farming",4 Months,Semester,Apex Media,1100,Remote,28-09-2025,"As a Precision Agriculture Intern, you will explore Soil Analysis, Crop Management and Precision Farming, optimizing farming practices or analyzing soil data using precision agriculture tools. Youâ€™ll collaborate with agronomists to improve crop yields.",Agriculture,"Gulbarga, Karnataka, India","17.3310003,76.8334228"
Political Science Intern,"Cultural Studies, Surveys, Urban Studies",3 Months,Long Term,Vector Ventures,"15,000",Remote,28-09-2025,"As a Political Science Intern, you will gain hands-on experience in Cultural Studies, Surveys, Urban Studies. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Political Science,"Kadapa, Andhra Pradesh, India","14.4752936,78.8216861"
