Job Title,Job Topics,Duration,Type,Company,Stipend,Job Type,Last Date,Job Description,Job Role
Data Engineering Intern,"NLP, Computer Vision, Reinforcement Learning",4 Months,Converting,UrbanWorks,"₹20,000",Part-time,04-10-2025,"As a Data Engineering Intern, you will gain hands-on experience in NLP, Computer Vision, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Engineering
Data Engineering Intern,"Deep Learning, Transformers, Generative AI",4 Months,Research,TechNova,"₹18,000",Full-time,05-10-2025,"As a Data Engineering Intern, you will gain hands-on experience in Deep Learning, Transformers, Generative AI. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Engineering
Data Engineering Intern,"Deep Learning, NLP, Generative AI",3 Months,Research,PixelTech,"₹6,000",Part-time,13-09-2025,"As a Data Engineering Intern, you will gain hands-on experience in Deep Learning, NLP, Generative AI. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Engineering
Data Engineering Intern,"Deep Learning, Generative AI, Reinforcement Learning",6 Months,Long-term,BuildCon,"₹20,000",Part-time,03-10-2025,"As a Data Engineering Intern, you will gain hands-on experience in Deep Learning, Generative AI, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Engineering
Data Science Intern,"Transformers, Reinforcement Learning, NLP",2 Months,Long-term,QuantumEdge,"₹15,000",Full-time,12-09-2025,"As a Data Science Intern, you will gain hands-on experience in Transformers, Reinforcement Learning, NLP. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Data Science Intern,"Transformers, Generative AI, NLP",4 Months,Long-term,BioGen Labs,"₹15,000",Part-time,29-09-2025,"As a Data Science Intern, you will gain hands-on experience in Transformers, Generative AI, NLP. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Data Science Intern,"Generative AI, NLP, Computer Vision",6 Months,Summer,EcoLabs,"₹18,000",Full-time,11-09-2025,"As a Data Science Intern, you will gain hands-on experience in Generative AI, NLP, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Data Science Intern,"Deep Learning, Transformers, Reinforcement Learning",2 Months,Summer,UrbanWorks,"₹8,000",Full-time,28-09-2025,"As a Data Science Intern, you will gain hands-on experience in Deep Learning, Transformers, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Science
Data Visualization Intern,"Transformers, Generative AI, Reinforcement Learning",6 Months,Summer,QuantumEdge,"₹8,000",Full-time,12-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in Transformers, Generative AI, Reinforcement Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization
Data Visualization Intern,"NLP, Transformers, Deep Learning",4 Months,Summer,UrbanWorks,"₹6,000",Part-time,22-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in NLP, Transformers, Deep Learning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization
Data Visualization Intern,"Generative AI, Deep Learning, Computer Vision",6 Months,Research,BuildCon,"₹20,000",Full-time,09-09-2025,"As a Data Visualization Intern, you will gain hands-on experience in Generative AI, Deep Learning, Computer Vision. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Data Visualization
Dentistry Intern,"Pharmacology, Pathology, Clinical Research",4 Months,Converting,PixelTech,"₹18,000",Full-time,13-09-2025,"As a Dentistry Intern, you will gain hands-on experience in Pharmacology, Pathology, Clinical Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Dentistry
Dentistry Intern,"Diagnostics, Anatomy, Pathology",4 Months,Converting,InnoWorks,"₹18,000",Full-time,02-10-2025,"As a Dentistry Intern, you will gain hands-on experience in Diagnostics, Anatomy, Pathology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Dentistry
Dentistry Intern,"Clinical Research, Pharmacology, Pathology",6 Months,Summer,SecureX,"₹12,000",Part-time,16-09-2025,"As a Dentistry Intern, you will gain hands-on experience in Clinical Research, Pharmacology, Pathology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Dentistry
DevOps Intern,"Kubernetes, Azure, Google Cloud",4 Months,Converting,EduNext,"₹12,000",Part-time,18-09-2025,"As a DevOps Intern, you will gain hands-on experience in Kubernetes, Azure, Google Cloud. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",DevOps
DevOps Intern,"Google Cloud, Serverless Computing, AWS",4 Months,Long-term,InnoWorks,"₹10,000",Full-time,16-09-2025,"As a DevOps Intern, you will gain hands-on experience in Google Cloud, Serverless Computing, AWS. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",DevOps
DevOps Intern,"AWS, Kubernetes, Serverless Computing",3 Months,Summer,MindCare,"₹6,000",Part-time,25-09-2025,"As a DevOps Intern, you will gain hands-on experience in AWS, Kubernetes, Serverless Computing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",DevOps
Digital HR Intern,"Market Analysis, Strategy, Operations",4 Months,Semester,InnoWorks,$1000,Part Time,15-08-2026,"As a Digital HR Intern, you will conduct Market Analysis, Strategy and Operations, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Digital HR Intern,"Strategy, Entrepreneurship",2 Months,Summer,TechNova,$1400,Full Time,02-09-2026,"As a Digital HR Intern, you will conduct Strategy and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Digital HR Intern,"Market Analysis, Operations, Entrepreneurship",3 Months,Summer,DataNest,$800,Part Time,20-08-2026,"As a Digital HR Intern, you will conduct Market Analysis, Operations and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Digital Marketing Intern,"SEO, Market Research, Content Strategy",4 Months,Summer,TechNova,"₹8,000",Part-time,14-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in SEO, Market Research, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Digital Marketing Intern,"Market Research, SEO, Content Strategy",6 Months,Research,SecureX,"₹20,000",Part-time,18-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in Market Research, SEO, Content Strategy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Digital Marketing Intern,"Market Research, Brand Management, SEO",3 Months,Converting,QuantumEdge,"₹12,000",Part-time,14-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in Market Research, Brand Management, SEO. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Digital Marketing Intern,"Content Strategy, Social Media, Market Research",3 Months,Summer,MindCare,"₹12,000",Part-time,12-09-2025,"As a Digital Marketing Intern, you will gain hands-on experience in Content Strategy, Social Media, Market Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Digital Marketing
Digital Product Intern,"Market Analysis, Strategy, Operations",2 Months,Summer,GreenWorld,$1400,Full Time,18-05-2026,"As a Digital Product Intern, you will conduct Market Analysis, Strategy and Operations, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Digital Product Intern,"Strategy, Entrepreneurship",3 Months,Summer,BuildCon,$800,Part Time,08-05-2026,"As a Digital Product Intern, you will conduct Strategy and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Digital Product Intern,"Market Analysis, Operations, Entrepreneurship",6 Months,Long Term,PixelTech,$1500,Full Time,25-05-2026,"As a Digital Product Intern, you will conduct Market Analysis, Operations and Entrepreneurship, developing strategies and analyzing market trends. You’ll collaborate with business leaders to drive operational improvements.",Business
Drone Technology Intern,"Aerodynamics, Propulsion, Avionics",2 Months,Summer,BuildCon,$1100,Part Time,20-09-2025,"As a Drone Technology Intern, you will focus on Aerodynamics, Propulsion and Avionics, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
Drone Technology Intern,"Flight Simulation, Satellite Systems, Avionics",4 Months,Semester,PixelTech,$1700,Full Time,10-10-2025,"As a Drone Technology Intern, you will focus on Flight Simulation, Satellite Systems and Avionics, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
Drone Technology Intern,"Propulsion, Flight Simulation, Avionics",3 Months,Summer,MindCare,$900,Part Time,18-09-2025,"As a Drone Technology Intern, you will focus on Propulsion, Flight Simulation and Avionics, simulating flight systems or analyzing propulsion designs using MATLAB or CFD tools. You’ll collaborate with aerospace engineers on innovative projects.",Aerospace
Economics Intern,"Valuation, Financial Modeling, Portfolio Management",2 Months,Converting,OpenAI Labs,"₹18,000",Part-time,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Valuation, Financial Modeling, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
Economics Intern,"Portfolio Management, Stock Research, Valuation",6 Months,Research,TechNova,"₹10,000",Full-time,05-10-2025,"As a Economics Intern, you will gain hands-on experience in Portfolio Management, Stock Research, Valuation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
Economics Intern,"Investment Analysis, Stock Research, Portfolio Management",4 Months,Converting,TechNova,"₹12,000",Full-time,09-09-2025,"As a Economics Intern, you will gain hands-on experience in Investment Analysis, Stock Research, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
Economics Intern,"Financial Modeling, Stock Research, Portfolio Management",2 Months,Converting,LexiCorp,"₹6,000",Full-time,14-09-2025,"As a Economics Intern, you will gain hands-on experience in Financial Modeling, Stock Research, Portfolio Management. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Economics
EdTech Content Intern,"Curriculum Design, E-Learning Platforms, Student Engagement",4 Months,Semester,GreenWorld,$1000,Part Time,15-03-2026,"As a EdTech Content Intern, you will design Curriculum Design, E-Learning Platforms and Student Engagement, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech Content Intern,"Learning Analytics, Gamification, Student Engagement",2 Months,Summer,BuildCon,$1400,Full Time,02-04-2026,"As a EdTech Content Intern, you will design Learning Analytics, Gamification and Student Engagement, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech Content Intern,"Curriculum Design, Learning Analytics, E-Learning Platforms",3 Months,Summer,PixelTech,$800,Part Time,20-03-2026,"As a EdTech Content Intern, you will design Curriculum Design, Learning Analytics and E-Learning Platforms, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech Intern,"Instructional Design, Pedagogy, STEM Education",4 Months,Converting,GreenWorld,"₹12,000",Full-time,05-10-2025,"As a EdTech Intern, you will gain hands-on experience in Instructional Design, Pedagogy, STEM Education. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
EdTech Intern,"E-learning, Digital Content, STEM Education",4 Months,Long-term,QuantumEdge,"₹18,000",Part-time,10-09-2025,"As a EdTech Intern, you will gain hands-on experience in E-learning, Digital Content, STEM Education. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
EdTech Intern,"Digital Content, Pedagogy, Instructional Design",2 Months,Long-term,DataNest,"₹10,000",Part-time,11-09-2025,"As a EdTech Intern, you will gain hands-on experience in Digital Content, Pedagogy, Instructional Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",EdTech
EdTech Strategy Intern,"Curriculum Design, E-Learning Platforms, Gamification",2 Months,Summer,BuildCon,$700,Full Time,30-09-2025,"As a EdTech Strategy Intern, you will design Curriculum Design, E-Learning Platforms and Gamification, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech Strategy Intern,"Learning Analytics, Student Engagement, Gamification",4 Months,Semester,PixelTech,$1800,Part Time,15-10-2025,"As a EdTech Strategy Intern, you will design Learning Analytics, Student Engagement and Gamification, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech Strategy Intern,"Curriculum Design, Learning Analytics, Student Engagement, E-Learning Platforms",3 Months,Summer,MindCare,$1200,Full Time,08-10-2025,"As a EdTech Strategy Intern, you will design Curriculum Design, Learning Analytics, Student Engagement and E-Learning Platforms, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech UX Intern,"Curriculum Design, E-Learning Platforms, Student Engagement",3 Months,Summer,BuildCon,$900,Part Time,05-10-2026,"As a EdTech UX Intern, you will design Curriculum Design, E-Learning Platforms and Student Engagement, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech UX Intern,"Learning Analytics, Gamification, Student Engagement",6 Months,Long Term,PixelTech,$1300,Full Time,22-09-2026,"As a EdTech UX Intern, you will design Learning Analytics, Gamification and Student Engagement, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
EdTech UX Intern,"Curriculum Design, Learning Analytics, E-Learning Platforms",4 Months,Semester,MindCare,$1000,Part Time,12-10-2026,"As a EdTech UX Intern, you will design Curriculum Design, Learning Analytics and E-Learning Platforms, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
Education Intern,"STEM Education, Instructional Design, Pedagogy",2 Months,Converting,PixelTech,"₹10,000",Full-time,08-09-2025,"As a Education Intern, you will gain hands-on experience in STEM Education, Instructional Design, Pedagogy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Education
Education Intern,"E-learning, STEM Education, Instructional Design",3 Months,Converting,UrbanWorks,"₹15,000",Full-time,28-09-2025,"As a Education Intern, you will gain hands-on experience in E-learning, STEM Education, Instructional Design. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Education
Education Intern,"Digital Content, E-learning, Pedagogy",6 Months,Research,BuildCon,"₹10,000",Full-time,16-09-2025,"As a Education Intern, you will gain hands-on experience in Digital Content, E-learning, Pedagogy. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Education
Educational Data Intern,"Curriculum Design, Learning Analytics, E-Learning Platforms",3 Months,Summer,GreenWorld,$800,Part Time,05-07-2026,"As a Educational Data Intern, you will design Curriculum Design, Learning Analytics and E-Learning Platforms, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
Educational Data Intern,"Gamification, Student Engagement, Learning Analytics",6 Months,Long Term,BuildCon,$1500,Full Time,22-06-2026,"As a Educational Data Intern, you will design Gamification, Student Engagement and Learning Analytics, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
Educational Data Intern,"Curriculum Design, E-Learning Platforms, Student Engagement",4 Months,Semester,PixelTech,$1200,Part Time,12-07-2026,"As a Educational Data Intern, you will design Curriculum Design, E-Learning Platforms and Student Engagement, creating engaging educational content or platforms using LMS tools or analytics. You’ll work with educators to enhance learning experiences.",EdTech
Electrical Engineering Intern,"Thermodynamics, Automation, Power Systems",2 Months,Research,PixelTech,"₹6,000",Part-time,13-09-2025,"As a Electrical Engineering Intern, you will gain hands-on experience in Thermodynamics, Automation, Power Systems. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Electrical Engineering
Electrical Engineering Intern,"Power Systems, Automation, Structural Analysis",4 Months,Summer,GreenWorld,"₹20,000",Part-time,24-09-2025,"As a Electrical Engineering Intern, you will gain hands-on experience in Power Systems, Automation, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Electrical Engineering
Electrical Engineering Intern,"Automation, CAD, Structural Analysis",4 Months,Long-term,QuantumEdge,"₹6,000",Part-time,12-09-2025,"As a Electrical Engineering Intern, you will gain hands-on experience in Automation, CAD, Structural Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Electrical Engineering
Energy Intern,"Teamwork, Problem Solving, Communication",3 Months,Summer,PixelTech,"₹6,000",Part-time,22-09-2025,"As a Energy Intern, you will gain hands-on experience in Teamwork, Problem Solving, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Energy
Energy Intern,"Teamwork, Communication, Leadership",3 Months,Research,BuildCon,"₹18,000",Full-time,20-09-2025,"As a Energy Intern, you will gain hands-on experience in Teamwork, Communication, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Energy
Energy Intern,"Leadership, Problem Solving, Communication",2 Months,Long-term,EcoLabs,"₹12,000",Full-time,02-10-2025,"As a Energy Intern, you will gain hands-on experience in Leadership, Problem Solving, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Energy
Energy Intern,"Leadership, Problem Solving, Communication",3 Months,Converting,OpenAI Labs,"₹15,000",Full-time,15-09-2025,"As a Energy Intern, you will gain hands-on experience in Leadership, Problem Solving, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Energy
Environmental Policy Intern,"Climate Change, Conservation, Environmental Impact",2 Months,Summer,InnoWorks,$1400,Full Time,18-10-2026,"As a Environmental Policy Intern, you will work on Climate Change, Conservation and Environmental Impact, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Environmental Policy Intern,"Biodiversity, GIS, Environmental Impact",3 Months,Summer,TechNova,$800,Part Time,08-10-2026,"As a Environmental Policy Intern, you will work on Biodiversity, GIS and Environmental Impact, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Environmental Policy Intern,"Climate Change, Biodiversity, GIS",6 Months,Long Term,DataNest,$1500,Full Time,25-10-2026,"As a Environmental Policy Intern, you will work on Climate Change, Biodiversity and GIS, contributing to sustainability projects or environmental analysis using GIS tools or climate models. You’ll partner with researchers to promote eco-friendly solutions.",Environment
Environmental Science Intern,"Teamwork, Project Planning, Problem Solving",3 Months,Converting,BioGen Labs,"₹20,000",Part-time,10-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Project Planning, Problem Solving. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science
Environmental Science Intern,"Teamwork, Problem Solving, Project Planning",4 Months,Summer,TechNova,"₹8,000",Part-time,02-10-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Problem Solving, Project Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science
Environmental Science Intern,"Teamwork, Leadership, Communication",3 Months,Summer,BioGen Labs,"₹12,000",Full-time,24-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Teamwork, Leadership, Communication. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science
Environmental Science Intern,"Communication, Leadership, Project Planning",6 Months,Summer,TechNova,"₹20,000",Full-time,15-09-2025,"As a Environmental Science Intern, you will gain hands-on experience in Communication, Leadership, Project Planning. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Environmental Science
Esports Intern,"Project Planning, Teamwork, Leadership",4 Months,Converting,BioGen Labs,"₹20,000",Full-time,17-09-2025,"As a Esports Intern, you will gain hands-on experience in Project Planning, Teamwork, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Esports Intern,"Project Planning, Communication, Teamwork",4 Months,Summer,OpenAI Labs,"₹15,000",Full-time,08-09-2025,"As a Esports Intern, you will gain hands-on experience in Project Planning, Communication, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Esports Intern,"Leadership, Project Planning, Teamwork",6 Months,Converting,BuildCon,"₹10,000",Full-time,25-09-2025,"As a Esports Intern, you will gain hands-on experience in Leadership, Project Planning, Teamwork. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Esports Intern,"Communication, Problem Solving, Leadership",6 Months,Summer,LexiCorp,"₹15,000",Full-time,13-09-2025,"As a Esports Intern, you will gain hands-on experience in Communication, Problem Solving, Leadership. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Esports
Ethical Hacking Intern,"Penetration Testing, Network Security, Forensics",2 Months,Summer,TechNova,$1300,Full Time,18-11-2025,"As a Ethical Hacking Intern, you will focus on Penetration Testing, Network Security and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. You’ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
Ethical Hacking Intern,"Encryption, Incident Response, Forensics",3 Months,Summer,DataNest,$1000,Part Time,08-11-2025,"As a Ethical Hacking Intern, you will focus on Encryption, Incident Response and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. You’ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
Ethical Hacking Intern,"Penetration Testing, Encryption, Incident Response, Forensics",6 Months,Long Term,GreenWorld,$1400,Full Time,25-11-2025,"As a Ethical Hacking Intern, you will focus on Penetration Testing, Encryption, Incident Response and Forensics, conducting security assessments and developing protocols using tools like Wireshark or Metasploit. You’ll collaborate with cybersecurity experts to enhance system resilience.",Cyber
Event Management Intern,"Event Management, Performing Arts, Curation",6 Months,Research,GreenWorld,"₹12,000",Full-time,09-09-2025,"As a Event Management Intern, you will gain hands-on experience in Event Management, Performing Arts, Curation. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management
Event Management Intern,"Event Management, Performing Arts, Art History",3 Months,Long-term,TechNova,"₹10,000",Full-time,27-09-2025,"As a Event Management Intern, you will gain hands-on experience in Event Management, Performing Arts, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management
Event Management Intern,"Curation, Creative Writing, Art History",2 Months,Long-term,EcoLabs,"₹20,000",Part-time,01-10-2025,"As a Event Management Intern, you will gain hands-on experience in Curation, Creative Writing, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management
Event Management Intern,"Creative Writing, Event Management, Art History",4 Months,Converting,DataNest,"₹6,000",Full-time,24-09-2025,"As a Event Management Intern, you will gain hands-on experience in Creative Writing, Event Management, Art History. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Event Management
Fashion Design Intern,"Sketching, Pattern Making, Garment Construction, Textiles, Trend Forecasting",4 Months,Long-term,OpenAI Labs,"₹20,000",Part-time,26-09-2025,"As a Fashion Design Intern, you will gain hands-on experience in Sketching, Pattern Making, Garment Construction, Textiles, Trend Forecasting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Design
Fashion Design Intern,"Fashion Illustration, Merchandising, Brand Management, Retail Marketing",3 Months,Summer,MindCare,"₹18,000",Full-time,04-10-2025,"As a Fashion Design Intern, you will gain hands-on experience in Fashion Illustration, Merchandising, Brand Management, Retail Marketing. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Design
Fashion Design Intern,"Costume Design, Styling, Digital Fashion Design, CAD",2 Months,Converting,UrbanWorks,"₹18,000",Full-time,18-09-2025,"As a Fashion Design Intern, you will gain hands-on experience in 	Costume Design, Styling, Digital Fashion Design, CAD. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Fashion Design
Finance Intern,"Valuation, Portfolio Management, Investment Analysis",3 Months,Converting,BioGen Labs,"₹20,000",Part-time,20-09-2025,"As a Finance Intern, you will gain hands-on experience in Valuation, Portfolio Management, Investment Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Finance
Finance Intern,"Stock Research, Valuation, Investment Analysis",4 Months,Long-term,SecureX,"₹10,000",Full-time,18-09-2025,"As a Finance Intern, you will gain hands-on experience in Stock Research, Valuation, Investment Analysis. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Finance
Finance Intern,"Investment Analysis, Financial Modeling, Stock Research",4 Months,Summer,LexiCorp,"₹15,000",Full-time,06-10-2025,"As a Finance Intern, you will gain hands-on experience in Investment Analysis, Financial Modeling, Stock Research. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Finance
Financial Compliance Intern,"Financial Modeling, Risk Assessment, Investment Strategies",4 Months,Semester,GreenWorld,$1200,Part Time,15-10-2026,"As a Financial Compliance Intern, you will focus on Financial Modeling, Risk Assessment and Investment Strategies, building financial models or assessing risks using Excel or Bloomberg Terminal. You’ll work with finance professionals to support investment strategies.",Finance
Financial Compliance Intern,"Accounting, Portfolio Analysis, Risk Assessment",2 Months,Summer,BuildCon,$1600,Full Time,02-11-2026,"As a Financial Compliance Intern, you will focus on Accounting, Portfolio Analysis and Risk Assessment, building financial models or assessing risks using Excel or Bloomberg Terminal. You’ll work with finance professionals to support investment strategies.",Finance
Financial Compliance Intern,"Financial Modeling, Accounting, Investment Strategies",3 Months,Summer,PixelTech,$1100,Part Time,20-10-2026,"As a Financial Compliance Intern, you will focus on Financial Modeling, Accounting and Investment Strategies, building financial models or assessing risks using Excel or Bloomberg Terminal. You’ll work with finance professionals to support investment strategies.",Finance
FinTech Intern,"Ethereum, DeFi, Smart Contracts",2 Months,Converting,DataNest,"₹8,000",Part-time,22-09-2025,"As a FinTech Intern, you will gain hands-on experience in Ethereum, DeFi, Smart Contracts. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FinTech
FinTech Intern,"DeFi, Ethereum, Consensus Mechanisms",6 Months,Research,BuildCon,"₹20,000",Part-time,21-09-2025,"As a FinTech Intern, you will gain hands-on experience in DeFi, Ethereum, Consensus Mechanisms. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FinTech
FinTech Intern,"Consensus Mechanisms, Ethereum, DeFi",3 Months,Long-term,SecureX,"₹6,000",Part-time,23-09-2025,"As a FinTech Intern, you will gain hands-on experience in Consensus Mechanisms, Ethereum, DeFi. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",FinTech
Food Tech Intern,"Soil Analysis, Crop Management, AgriTech",2 Months,Summer,InnoWorks,$1700,Full Time,18-03-2026,"As a Food Tech Intern, you will explore Soil Analysis, Crop Management and AgriTech, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
Food Tech Intern,"Precision Farming, Irrigation Systems, AgriTech",3 Months,Summer,TechNova,$900,Part Time,08-03-2026,"As a Food Tech Intern, you will explore Precision Farming, Irrigation Systems and AgriTech, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
Food Tech Intern,"Soil Analysis, Precision Farming, AgriTech",6 Months,Long Term,DataNest,$1300,Full Time,25-03-2026,"As a Food Tech Intern, you will explore Soil Analysis, Precision Farming and AgriTech, optimizing farming practices or analyzing soil data using precision agriculture tools. You’ll collaborate with agronomists to improve crop yields.",Agriculture
Forensic Science Intern,"Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting",2 Months,Summer,UrbanWorks,"₹18,000",Part-time,09-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Crime Scene Investigation, DNA Analysis, Ballistics, Fingerprinting. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science
Forensic Science Intern,"Toxicology, Forensic Anthropology, Digital Forensics, Serology",2 Months,Summer,BioGen Labs,"₹18,000",Part-time,28-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Toxicology, Forensic Anthropology, Digital Forensics, Serology. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science
Forensic Science Intern,"Evidence Collection, Trace Evidence Analysis, Questioned Documents",3 Months,Long-term,BuildCon,"₹10,000",Part-time,08-09-2025,"As a Forensic Science Intern, you will gain hands-on experience in Evidence Collection, Trace Evidence Analysis, Questioned Documents. You will work with mentors, contribute to domain-relevant projects, and enhance your professional expertise.",Forensic Science
